"filename", "language", "Python", "LLVM", "comment", "blank", "total"
"c:\Users\karat\Desktop\Kernkraft\ast_nodes.py", "Python", 432, 0, 14, 129, 575
"c:\Users\karat\Desktop\Kernkraft\bin\tust.ll", "LLVM", 0, 89, 2, 4, 95
"c:\Users\karat\Desktop\Kernkraft\ir_gen.py", "Python", 30, 0, 4, 11, 45
"c:\Users\karat\Desktop\Kernkraft\lexer.py", "Python", 170, 0, 34, 51, 255
"c:\Users\karat\Desktop\Kernkraft\main.py", "Python", 23, 0, 5, 8, 36
"c:\Users\karat\Desktop\Kernkraft\parser.py", "Python", 300, 0, 4, 78, 382
"c:\Users\karat\Desktop\Kernkraft\tokens.py", "Python", 83, 0, 7, 38, 128
"Total", "-", 1038, 89, 70, 319, 1516
