"filename", "language", "Python", "LLVM", "comment", "blank", "total"
"c:\Users\karat\Desktop\Kernkraft\ast_nodes.py", "Python", 96, 0, 0, 26, 122
"c:\Users\karat\Desktop\Kernkraft\bin\tust.ll", "LLVM", 0, 63, 0, 0, 63
"c:\Users\karat\Desktop\Kernkraft\lexer.py", "Python", 27, 0, 3, 3, 33
"c:\Users\karat\Desktop\Kernkraft\parser.py", "Python", 91, 0, 0, 21, 112
"c:\Users\karat\Desktop\Kernkraft\tokens.py", "Python", 1, 0, 1, 10, 12
"Total", "-", 215, 63, 4, 60, 342
