"filename", "language", "Python", "LLVM", "comment", "blank", "total"
"c:\Users\karat\Desktop\Kernkraft\ast_nodes.py", "Python", 28, 0, 0, 12, 40
"c:\Users\karat\Desktop\Kernkraft\bin\tust.ll", "LLVM", 0, -64, 2, -1, -63
"c:\Users\karat\Desktop\Kernkraft\lexer.py", "Python", 1, 0, 0, 0, 1
"c:\Users\karat\Desktop\Kernkraft\parser.py", "Python", 17, 0, 1, 6, 24
"c:\Users\karat\Desktop\Kernkraft\tokens.py", "Python", 2, 0, 0, 1, 3
"Total", "-", 48, -64, 3, 18, 5
