"filename", "language", "Python", "LLVM", "comment", "blank", "total"
"c:\Users\karat\Desktop\Kernkraft\ast_nodes.py", "Python", 336, 0, 14, 103, 453
"c:\Users\karat\Desktop\Kernkraft\bin\tust.ll", "LLVM", 0, 26, 2, 4, 32
"c:\Users\karat\Desktop\Kernkraft\ir_gen.py", "Python", 30, 0, 4, 11, 45
"c:\Users\karat\Desktop\Kernkraft\lexer.py", "Python", 143, 0, 31, 48, 222
"c:\Users\karat\Desktop\Kernkraft\main.py", "Python", 23, 0, 5, 8, 36
"c:\Users\karat\Desktop\Kernkraft\parser.py", "Python", 209, 0, 4, 57, 270
"c:\Users\karat\Desktop\Kernkraft\tokens.py", "Python", 82, 0, 6, 28, 116
"Total", "-", 823, 26, 66, 259, 1174
