"filename", "language", "Python", "LLVM", "comment", "blank", "total"
"c:\Users\karat\Desktop\Kernkraft\ast_nodes.py", "Python", 62, 0, 4, 21, 87
"c:\Users\karat\Desktop\Kernkraft\bin\tust.ll", "LLVM", 0, -2, 0, 1, -1
"c:\Users\karat\Desktop\Kernkraft\lexer.py", "Python", 6, 0, 1, 0, 7
"c:\Users\karat\Desktop\Kernkraft\main.py", "Python", 1, 0, -1, 0, 0
"c:\Users\karat\Desktop\Kernkraft\parser.py", "Python", 37, 0, -5, 10, 42
"c:\Users\karat\Desktop\Kernkraft\tokens.py", "Python", 9, 0, 0, 3, 12
"Total", "-", 115, -2, -1, 35, 147
